angle,R0,rr0,realR,realrr,realOR,psi0,nmax,beta,maxh0,vol,rdrop,hdrop,charL,charT,r0rf,t0,tic,tau,ts,t00,Oh,SectionArea,tauMax,sigmaMax
40,80,20,92.0,12.0,68.0,0.3,5.235987755982989,0.15,4.67911113762044,41361.33441514999,41.07215687180012,14.949042558447305,5.1180152534007535,600.0,50.92784312819988,200.0,416.0,0.0,Inf,Inf,0.4811252243246881,82.25325998288366,99665.82205764971,1.0033529843576366e-5
40,80,30,99.0,19.0,61.0,0.475,3.306939635357677,0.2375,7.018666706430661,93068.24052951654,53.820760569511805,19.589154832870403,7.67702288010113,950.0,45.179239430488195,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,185.1867634597301,149545.95283495836,6.686907810227524e-6
40,80,40,105.0,25.0,55.0,0.625,2.5132741228718345,0.3125,9.35822227524088,165456.58730379265,65.19946272836108,23.73066372327212,10.236030506801507,1250.0,39.800537271638916,417.0,1250.0,0.0,Inf,Inf,0.3333333333333333,329.1960996195936,199387.08950797626,5.015369864055296e-6
40,80,60,118.0,38.0,42.0,0.95,1.6534698176788385,0.475,14.037333412861322,372276.6119304077,85.43541115055923,31.095946611098366,15.35404576020226,1900.0,32.56458884944077,633.0,2342.0,0.0,Inf,Inf,0.27036903521793754,740.686088242088,299079.59735789447,3.343591501507029e-6
40,80,80,131.0,51.0,29.0,1.275,1.231997119054821,0.6375,18.71644455048176,661824.0849925473,103.49757769477675,37.67003759955238,20.472061013603014,2550.0,27.50242230522325,850.0,3642.0,0.0,Inf,Inf,0.2333800140046683,1316.723198208294,398764.9119821613,2.5077432089730475e-6
40,80,100,144.0,64.0,16.0,1.6,0.9817477042468103,0.8,23.395555688102192,1.0340975582736029e6,120.09820056663105,43.71217019518607,25.590076267003766,3200.0,23.90179943336895,1067.0,5120.0,0.0,Inf,Inf,0.20833333333333331,2057.3074260976537,498447.3487405882,2.006229950919931e-6
40,120,20,132.0,12.0,108.0,0.2,7.853981633974483,0.1,4.67911113762044,62041.95282057322,47.015870615988455,17.112377442330782,5.1180152534007535,600.0,84.98412938401154,200.0,416.0,0.0,Inf,Inf,0.4811252243246881,82.25325998288366,99665.82205764971,1.0033529843576366e-5
40,120,30,139.0,19.0,101.0,0.31666666666666665,4.960409453036515,0.15833333333333333,7.018666706430661,139601.84556509415,61.60931537513726,22.423956950069055,7.67702288010113,950.0,77.39068462486274,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,185.1867634597301,149545.95283495836,6.686907810227524e-6
40,120,40,145.0,25.0,95.0,0.4166666666666667,3.7699111843077517,0.20833333333333334,9.35822227524088,248182.52848354692,74.63451777754375,27.164742919837646,10.236030506801507,1250.0,70.36548222245625,417.0,1250.0,0.0,Inf,Inf,0.3333333333333333,329.1960996195936,199387.08950797626,5.015369864055296e-6
40,120,60,158.0,38.0,82.0,0.6333333333333333,2.4802047265182576,0.31666666666666665,14.037333412861322,558413.8344942846,97.79906871450594,35.59594995103516,15.35404576020226,1900.0,60.200931285494065,633.0,2342.0,0.0,Inf,Inf,0.27036903521793754,740.686088242088,299079.59735789447,3.343591501507029e-6
40,120,80,171.0,51.0,69.0,0.85,1.8479956785822313,0.425,18.71644455048176,992735.47302667,118.4751252220266,43.12141908177869,20.472061013603014,2550.0,52.524874777973395,850.0,3642.0,0.0,Inf,Inf,0.2333800140046683,1316.723198208294,398764.9119821613,2.5077432089730475e-6
40,120,100,184.0,64.0,56.0,1.0666666666666667,1.4726215563702156,0.5333333333333333,23.395555688102192,1.5511501247620448e6,137.47823258456702,50.03798452030833,25.590076267003766,3200.0,46.521767415432976,1067.0,5120.0,0.0,Inf,Inf,0.20833333333333331,2057.3074260976537,498447.3487405882,2.006229950919931e-6
40,150,20,162.0,12.0,138.0,0.16,9.817477042468104,0.08,4.67911113762044,77552.39454473632,50.6463012002936,18.433746112587514,5.1180152534007535,600.0,111.3536987997064,200.0,416.0,0.0,Inf,Inf,0.4811252243246881,82.25325998288366,99665.82205764971,1.0033529843576366e-5
40,150,30,169.0,19.0,131.0,0.25333333333333335,6.200511816295644,0.12666666666666668,7.018666706430661,174503.16531396587,66.36673195317617,24.155514976479793,7.67702288010113,950.0,102.63326804682383,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,185.1867634597301,149545.95283495836,6.686907810227524e-6
40,150,40,175.0,25.0,125.0,0.3333333333333333,4.71238898038469,0.16666666666666666,9.35822227524088,310229.8719272034,80.39774491998526,29.262386053001425,10.236030506801507,1250.0,94.60225508001474,417.0,1250.0,0.0,Inf,Inf,0.3333333333333333,329.1960996195936,199387.08950797626,5.015369864055296e-6
40,150,60,188.0,38.0,112.0,0.5066666666666667,3.100255908147822,0.25333333333333335,14.037333412861322,698019.7712517534,105.3509778193792,38.34462007709294,15.35404576020226,1900.0,82.6490221806208,633.0,2342.0,0.0,Inf,Inf,0.27036903521793754,740.686088242088,299079.59735789447,3.343591501507029e-6
40,150,80,201.0,51.0,99.0,0.68,2.3099945982277887,0.34,18.71644455048176,1.2409217116848407e6,127.62354110407209,46.451170153531436,20.472061013603014,2550.0,73.37645889592791,850.0,3642.0,0.0,Inf,Inf,0.2333800140046683,1316.723198208294,398764.9119821613,2.5077432089730475e-6
40,150,100,214.0,64.0,86.0,0.8533333333333334,1.8407769454627694,0.4266666666666667,23.395555688102192,1.938933703526175e6,148.0938360748289,53.90174820953606,25.590076267003766,3200.0,65.90616392517109,1067.0,5120.0,0.0,Inf,Inf,0.20833333333333331,2057.3074260976537,498447.3487405882,2.006229950919931e-6
